from,to,season,mode,party_preset,party_pace,party_mount,party_size,party_forcedMarch,supply_preset,supply_rations,supply_water,supply_encumbrance,supply_pack,route_found,total_km,estimated_days,days_count,completed,finished_reason,encounters_total,calendar_events_total,rations_low_day,water_low_day,rations_out_day,water_out_day,final_rations_left,final_water_left,encounters_by_type_json,encounters_by_severity_json,error
ngaru_bon,oravan,spring,fastest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,4,0,2,1,4,3,-59.1,-60.1,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,4,0,5,1,7,3,-32,-36,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,4,0,5,1,7,3,-45,-49,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,4,0,5,1,7,3,-62,-66,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,4,0,18,11,20,13,-21.9,-28.9,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,4,0,18,11,20,13,-36.2,-43.2,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,4,0,18,11,20,13,-54.9,-61.9,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,safest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,4,0,2,1,4,3,-32.1,-33.1,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,4,0,2,1,4,3,-43.8,-44.8,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,4,0,2,1,4,3,-59.1,-60.1,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,4,0,5,1,7,3,-32,-36,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,4,0,5,1,7,3,-45,-49,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,4,0,5,1,7,3,-62,-66,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,4,0,18,11,20,13,-21.9,-28.9,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,4,0,18,11,20,13,-36.2,-43.2,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,safest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,4,0,18,11,20,13,-54.9,-61.9,"{""environmental"":1,""social"":3}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,spring,cheapest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,3,0,2,1,4,3,-32.1,-33.1,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,3,0,2,1,4,3,-43.8,-44.8,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,3,0,2,1,4,3,-59.1,-60.1,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,3,0,5,1,7,3,-32,-36,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,3,0,5,1,7,3,-45,-49,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,3,0,5,1,7,3,-62,-66,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,3,0,18,11,20,13,-21.9,-28.9,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,3,0,18,11,20,13,-36.2,-43.2,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,spring,cheapest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,3,0,18,11,20,13,-54.9,-61.9,"{""environmental"":3}","{""mild"":1,""moderate"":2}",
ngaru_bon,oravan,summer,direct,light-fast,fast,foot,small,false,tight,3,2,light,none,true,4627.88,191.15,192,false,water-out,3,0,2,1,4,3,-169.8,-170.8,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,standard,normal,foot,medium,false,tight,3,2,light,none,true,4627.88,254.23,255,false,water-out,3,0,2,1,4,3,-226.5,-227.5,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,4627.88,370.91,371,false,water-out,3,0,2,1,4,3,-330.9,-331.9,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,4627.88,191.15,192,false,water-out,3,0,5,1,7,3,-185,-189,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,standard,normal,foot,medium,false,standard,7,3,normal,none,true,4627.88,254.23,255,false,water-out,3,0,5,1,7,3,-248,-252,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,4627.88,370.91,371,false,water-out,3,0,5,1,7,3,-364,-368,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,4627.88,191.15,192,false,water-out,3,0,18,11,20,13,-190.2,-197.2,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,4627.88,254.23,255,false,water-out,3,0,18,11,20,13,-259.5,-266.5,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,direct,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,4627.88,370.91,371,false,water-out,3,0,18,11,20,13,-387.1,-394.1,"{""environmental"":2,""opportunity"":1}","{""moderate"":1,""mild"":2}",
ngaru_bon,oravan,summer,fastest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,7209.74,108.42,109,false,water-out,5,0,2,1,4,3,-95.1,-96.1,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,standard,normal,foot,medium,false,tight,3,2,light,none,true,7209.74,144.19,145,false,water-out,5,0,2,1,4,3,-127.5,-128.5,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,7209.74,192.26,193,false,water-out,5,0,2,1,4,3,-170.7,-171.7,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,7209.74,108.42,109,false,water-out,5,0,5,1,7,3,-102,-106,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,7209.74,144.19,145,false,water-out,5,0,5,1,7,3,-138,-142,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,7209.74,192.26,193,false,water-out,5,0,5,1,7,3,-186,-190,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,7209.74,108.42,109,false,water-out,5,0,18,11,20,13,-98.9,-105.9,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,7209.74,144.19,145,false,water-out,5,0,18,11,20,13,-138.5,-145.5,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,fastest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,7209.74,192.26,193,false,water-out,5,0,18,11,20,13,-191.3,-198.3,"{""environmental"":5}","{""mild"":2,""moderate"":1,""severe"":2}",
ngaru_bon,oravan,summer,safest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,7209.74,108.42,109,false,water-out,7,0,2,1,4,3,-95.1,-96.1,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,standard,normal,foot,medium,false,tight,3,2,light,none,true,7209.74,144.19,145,false,water-out,7,0,2,1,4,3,-127.5,-128.5,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,7209.74,192.26,193,false,water-out,7,0,2,1,4,3,-170.7,-171.7,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,7209.74,108.42,109,false,water-out,7,0,5,1,7,3,-102,-106,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,7209.74,144.19,145,false,water-out,7,0,5,1,7,3,-138,-142,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,7209.74,192.26,193,false,water-out,7,0,5,1,7,3,-186,-190,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,7209.74,108.42,109,false,water-out,7,0,18,11,20,13,-98.9,-105.9,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,7209.74,144.19,145,false,water-out,7,0,18,11,20,13,-138.5,-145.5,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,safest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,7209.74,192.26,193,false,water-out,7,0,18,11,20,13,-191.3,-198.3,"{""social"":1,""environmental"":4,""opportunity"":2}","{""severe"":3,""mild"":4}",
ngaru_bon,oravan,summer,cheapest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,5738.31,130.41,131,false,water-out,5,0,2,1,4,3,-114.9,-115.9,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,standard,normal,foot,medium,false,tight,3,2,light,none,true,5738.31,173.44,174,false,water-out,5,0,2,1,4,3,-153.6,-154.6,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,5738.31,242.84,243,false,water-out,5,0,2,1,4,3,-215.7,-216.7,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,5738.31,130.41,131,false,water-out,5,0,5,1,7,3,-124,-128,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,5738.31,173.44,174,false,water-out,5,0,5,1,7,3,-167,-171,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,5738.31,242.84,243,false,water-out,5,0,5,1,7,3,-236,-240,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,5738.31,130.41,131,false,water-out,5,0,18,11,20,13,-123.1,-130.1,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,5738.31,173.44,174,false,water-out,5,0,18,11,20,13,-170.4,-177.4,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,summer,cheapest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,5738.31,242.84,243,false,water-out,5,0,18,11,20,13,-246.3,-253.3,"{""social"":4,""environmental"":1}","{""mild"":2,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,autumn,direct,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2276.52,95.04,96,false,water-out,4,0,2,1,4,3,-83.4,-84.4,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,standard,normal,foot,medium,false,tight,3,2,light,none,true,2276.52,126.4,127,false,water-out,4,0,2,1,4,3,-111.3,-112.3,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2276.52,184.51,185,false,water-out,4,0,2,1,4,3,-163.5,-164.5,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2276.52,95.04,96,false,water-out,4,0,5,1,7,3,-89,-93,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2276.52,126.4,127,false,water-out,4,0,5,1,7,3,-120,-124,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2276.52,184.51,185,false,water-out,4,0,5,1,7,3,-178,-182,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2276.52,95.04,96,false,water-out,4,0,18,11,20,13,-84.6,-91.6,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2276.52,126.4,127,false,water-out,4,0,18,11,20,13,-118.7,-125.7,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,direct,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2276.52,184.51,185,false,water-out,4,0,18,11,20,13,-182.5,-189.5,"{""environmental"":3,""opportunity"":1}","{""moderate"":1,""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,fastest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,2,0,2,1,4,3,-32.1,-33.1,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,2,0,2,1,4,3,-43.8,-44.8,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,2,0,2,1,4,3,-59.1,-60.1,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,2,0,5,1,7,3,-32,-36,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,2,0,5,1,7,3,-45,-49,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,2,0,5,1,7,3,-62,-66,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,2,0,18,11,20,13,-21.9,-28.9,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,2,0,18,11,20,13,-36.2,-43.2,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,fastest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,2,0,18,11,20,13,-54.9,-61.9,"{""environmental"":2}","{""mild"":2}",
ngaru_bon,oravan,autumn,safest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,4,0,2,1,4,3,-32.1,-33.1,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,4,0,2,1,4,3,-43.8,-44.8,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,4,0,2,1,4,3,-59.1,-60.1,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,4,0,5,1,7,3,-32,-36,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,4,0,5,1,7,3,-45,-49,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,4,0,5,1,7,3,-62,-66,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,4,0,18,11,20,13,-21.9,-28.9,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,4,0,18,11,20,13,-36.2,-43.2,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,safest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,4,0,18,11,20,13,-54.9,-61.9,"{""environmental"":2,""social"":2}","{""moderate"":3,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,3,0,2,1,4,3,-32.1,-33.1,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,3,0,2,1,4,3,-43.8,-44.8,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2582,68.85,69,false,water-out,3,0,2,1,4,3,-59.1,-60.1,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2582,38.83,39,false,water-out,3,0,5,1,7,3,-32,-36,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2582,51.64,52,false,water-out,3,0,5,1,7,3,-45,-49,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2582,68.85,69,false,water-out,3,0,5,1,7,3,-62,-66,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2582,38.83,39,false,water-out,3,0,18,11,20,13,-21.9,-28.9,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2582,51.64,52,false,water-out,3,0,18,11,20,13,-36.2,-43.2,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,autumn,cheapest,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2582,68.85,69,false,water-out,3,0,18,11,20,13,-54.9,-61.9,"{""environmental"":2,""social"":1}","{""severe"":2,""mild"":1}",
ngaru_bon,oravan,winter,direct,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2276.52,95.04,96,false,water-out,3,0,1,1,3,3,-105,-84.4,"{""environmental"":2,""social"":1}","{""mild"":1,""moderate"":1,""severe"":1}",
ngaru_bon,oravan,winter,direct,standard,normal,foot,medium,false,tight,3,2,light,none,true,2276.52,126.4,127,false,water-out,3,0,1,1,3,3,-139.87,-112.3,"{""environmental"":2,""social"":1}","{""mild"":1,""moderate"":1,""severe"":1}",
